energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.43,0.114,172.557,0.0611,0.84,0.0,3,0.395,11,217145,-8.953,0.384,1,Terence Lam,難道喜歡處女座 (Alter Ego),55,1
0.741,0.337,124.925,0.0427,0.00544,0.0,4,0.702,9,187585,-5.33,0.646,1,BTS,Permission to Dance,80,1
0.709,0.331,164.032,0.134,0.296,0.0,4,0.499,10,214621,-6.404,0.314,1,BTS,Film out,79,1
0.576,0.0757,114.057,0.0858,0.0306,0.00162,4,0.491,2,378958,-12.915,0.414,0,Busta 929,Mmapula,60,1
0.781,0.0755,97.014,0.053,0.0361,0.0,4,0.687,1,193507,-4.806,0.688,1,Post Malone,One Right Now (with The Weeknd),85,1
0.531,0.138,170.01,0.209,0.0209,0.000164,4,0.582,9,113120,-4.698,0.866,0,Feid,TE MATA,70,1
0.562,0.0974,89.853,0.26,0.45,1.29e-05,4,0.779,0,144000,-5.678,0.57,1,Perro Primo,TRUCHO,72,1
0.703,0.392,140.881,0.289,0.139,0.0,4,0.74,10,327373,-6.407,0.313,0,Mata,Patoreakcja,65,1
0.34,0.149,77.213,0.0351,0.877,1.77e-05,4,0.422,0,204094,-6.577,0.223,1,Clinton Kane,I GUESS I'M IN LOVE,87,1
0.624,0.107,140.083,0.456,0.249,6.42e-06,4,0.655,0,164595,-7.448,0.488,0,Pajel,10von10,79,1
0.595,0.0882,82.492,0.246,0.138,0.0,4,0.806,8,187636,-6.166,0.677,0,Matuê,Quer Voar,84,1
0.521,0.145,94.954,0.261,0.168,0.0,4,0.438,9,204000,-8.599,0.237,0,Ravid Plotnik,‏קורבן,56,1
0.532,0.182,109.738,0.044,0.623,0.0,4,0.653,2,201008,-5.734,0.492,1,Sobel,"Cześć, jak się masz?",76,1
0.947,0.0874,126.021,0.0569,0.0692,5.33e-06,4,0.6,3,157857,-4.014,0.693,0,Regi,Duizend Sterren,59,1
0.357,0.094,120.049,0.0299,0.432,3.31e-06,4,0.522,2,261300,-8.579,0.14,1,Lyodra,Pesan Terakhir,78,1
0.556,0.152,112.994,0.0773,0.325,0.748,4,0.84,10,416366,-15.105,0.4,0,MDU aka TRP,Dlala (feat. DJ Maphorisa),38,1
0.686,0.118,92.416,0.119,0.147,0.0,4,0.567,6,186693,-5.096,0.427,1,Feid,VACAXIONES,74,1
0.575,0.113,99.991,0.0286,0.105,0.0,4,0.727,0,236293,-8.247,0.55,1,ABBA,Don't Shut Me Down,71,1
0.497,0.112,152.194,0.0357,0.263,0.0,4,0.407,6,181184,-5.828,0.312,0,Vicky Chen,炙愛 - 女聲版,59,1
0.666,0.275,145.916,0.0507,0.178,0.0,4,0.66,5,183883,-6.15,0.503,1,Tobias Rahim,STOR MAND,70,1
0.657,0.26,92.995,0.23,0.00288,0.0,4,0.7,7,136798,-7.894,0.593,1,shadowraze,juggernaut (Prod. by PLVSTIC),64,1
